Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
472890	0.010419	0.00053608	0.0031751	0.00070894	0.0029574	0.0011692	0.00077917	5.8162e-05	0.00051427	6.6854e-05	-15982486.290
472920	0.010465	0.0005312	0.0031573	0.00068226	0.0028156	0.0011629	0.00077358	5.9415e-05	0.00052572	6.6138e-05	-15981955.467
472950	0.010422	0.00053115	0.0032903	0.00069505	0.002676	0.0011647	0.00077789	5.7574e-05	0.00051887	6.6739e-05	-15982168.812
472980	0.010481	0.00054758	0.003306	0.00072319	0.0023101	0.0011705	0.00076799	5.8085e-05	0.00050757	7.6708e-05	-15982046.695
473010	0.010569	0.0005409	0.0033909	0.00075146	0.0024474	0.0011647	0.00077026	5.9542e-05	0.00049809	7.2868e-05	-15982331.241
473040	0.010415	0.00053573	0.0033917	0.00073015	0.0024039	0.00116	0.00076433	5.9018e-05	0.00051169	7.1516e-05	-15981893.006
473070	0.010331	0.00053401	0.0032674	0.00076937	0.002322	0.0011661	0.00077608	6.3127e-05	0.00050596	6.7955e-05	-15981931.652
473100	0.010358	0.00054098	0.0033797	0.00076927	0.0026459	0.0011686	0.00076996	6.3643e-05	0.0005086	5.7486e-05	-15982252.296
473130	0.010539	0.00054022	0.0033627	0.00077696	0.0030956	0.0011735	0.00077224	6.3095e-05	0.00050434	4.6256e-05	-15982335.809
473160	0.01049	0.00053624	0.0035398	0.00080132	0.0025395	0.0011763	0.00078027	5.9924e-05	0.00049046	5.4321e-05	-15982138.526
473190	0.010341	0.00052741	0.0034847	0.00077592	0.003023	0.0011685	0.00078147	5.5385e-05	0.00049894	4.6149e-05	-15982500.903
473220	0.010351	0.00053012	0.0033271	0.0007826	0.0026618	0.0011744	0.00078796	5.6171e-05	0.00050135	5.0925e-05	-15982168.027
473250	0.010348	0.00052777	0.0032843	0.00077454	0.0025541	0.0011734	0.00078892	5.6846e-05	0.00050493	4.0959e-05	-15982171.342
473280	0.010382	0.00052665	0.0031054	0.00076876	0.0024674	0.001167	0.0007788	6.0135e-05	0.00050114	4.0674e-05	-15982282.361
473310	0.01039	0.00052152	0.0033167	0.00075351	0.0028784	0.0011608	0.00077923	5.7642e-05	0.00050659	3.6751e-05	-15982360.660
473340	0.010498	0.00051691	0.0032435	0.00076271	0.0030361	0.0011598	0.0007783	5.4824e-05	0.00049546	3.821e-05	-15982006.126
